"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C18573,SUPER MUFFATO FINAL 56,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,0.00,0.00,-100.00
C18574,SUPER MUFFATO  FINAL 37,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,25.00,1620.00,150.00
C18574,SUPER MUFFATO  FINAL 37,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,12.00,568.80,140.00
C18588,SUPER MUFFATO FINAL JK 74,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,5.00,324.00,26.00,1684.80,420.00
C18588,SUPER MUFFATO FINAL JK 74,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,3.00,142.20,19.00,900.60,533.33
C18594,SUPER MUFFATO FINAL 59 CENTRO,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,6.00,388.80,-40.00
C18594,SUPER MUFFATO FINAL 59 CENTRO,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,3.00,142.20,-40.00
C18595,SUPER MUFFATO FINAL 67,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,0.00,0.00,-100.00
C18595,SUPER MUFFATO FINAL 67,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,0.00,0.00,-100.00
C18596,SUPER MUFFATO FINAL 20,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,14.00,663.60,180.00
C18596,SUPER MUFFATO FINAL 20,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,8.00,518.40,-20.00
C18597,SUPER MUFFATO FINAL 00 COQUEIRAL,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,10.00,648.00,2.00,129.60,-80.00
C18597,SUPER MUFFATO FINAL 00 COQUEIRAL,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,1.00,47.40,-80.00
C18598,SUPER MUFFATO FINAL 70 SANTO ONOFRE,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,2.00,129.60,4.00,259.20,100.00
C18598,SUPER MUFFATO FINAL 70 SANTO ONOFRE,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,2.00,94.80,2.00,94.80,0.00
C18599,SUPER MUFFATO FINAL 26 ,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,4.00,259.20,2.00,129.60,-50.00
C18599,SUPER MUFFATO FINAL 26 ,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,4.00,189.60,2.00,94.80,-50.00
C18600,SUPER MUFFATO FINAL 30,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,1.00,47.40,3.00,142.20,200.00
C18600,SUPER MUFFATO FINAL 30,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,2.00,129.60,-4.00,118.79,-8.34
C18601,SUPER MUFFATO FINAL 17,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,4.00,259.20,0.00,0.00,-100.00
C18601,SUPER MUFFATO FINAL 17,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,4.00,189.60,0.00,0.00,-100.00
C18602,SUPER MUFFATO FINAL 15 TOCANTINS,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,6.00,388.80,4.00,259.20,-33.33
C18602,SUPER MUFFATO FINAL 15 TOCANTINS,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,2.00,94.80,-60.00
C18603,SUPER MUFFATO FINAL 05,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,6.00,388.80,0.00,0.00,-100.00
C18603,SUPER MUFFATO FINAL 05,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,5.00,237.00,0.00,0.00,-100.00
C19200,SUPER MUFFATO FINAL 83,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,75.00,4860.00,100.00
C19202,SUPER MUFFATO FINAL - 50,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,32.00,2073.60,100.00
C19410,SUPER MUFFATO FINAL 12,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,14.00,907.20,100.00
C19410,SUPER MUFFATO FINAL 12,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,13.00,616.20,100.00
C20267,SUPER MUFFATO FINAL - 99,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,6.00,284.40,100.00
C20267,SUPER MUFFATO FINAL - 99,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,4.00,259.20,100.00
